ID,Betrieb,Feldname,Fläche (ha),Erntejahr,Aussaattermin,Erntedatum,Kultur,realer Ertrag (dt / ha),reale N-Menge (kg N / ha),Unnamed: 11,Unnamed: 12
,Farm 10,Field 1,7.8304,2023.0,2022-09-26 00:00:00,2023-08-18 00:00:00.000,Wintertriticale,67.89997956681651,137.0,,
,Farm 10,Field 2,8.5531,2022.0,2021-09-22 00:00:00,2022-07-31 00:00:00.000,Wintertriticale,49.19853620324795,165.0,,
,Farm 10,Field 3,25.2002,2022.0,2021-09-20 00:00:00,2022-07-18 00:00:00.000,Winterroggen ,30.37999698415092,90.0,,
,Farm 10,Field 4,7.427,2022.0,2021-09-21 00:00:00,2022-07-18 00:00:00.000,Winterroggen ,30.379964992594594,113.0,,
,Farm 10,Field 5,19.0631,2023.0,2023-04-10 00:00:00,2023-08-23 00:00:00.000,Erbsen,10.0,0.0,,
,Farm 10,Field 6,2.3404,2023.0,2023-04-11 00:00:00,2023-08-23 00:00:00.000,Erbsen,10.0,0.0,,
,Farm 10,Field 7,12.5,2022.0,2021-09-22 00:00:00,2022-07-18 00:00:00.000,Wintertriticale,22.624,66.0,,
,Farm 10,Field 8,23.267,2022.0,2021-10-11 00:00:00,2022-08-03 00:00:00.000,Winterweichweizen,41.92633343361844,93.0,,
,Farm 10,Field 8,23.267,2023.0,2022-09-24 00:00:00,2023-07-03 00:00:00.000,Wintergerste,56.1000128937981,163.0,,
,Farm 10,Field 9,37.6559,2023.0,2022-09-25 00:00:00,2023-07-12 00:00:00.000,Wintergerste,94.1699972647049,136.0,,
,Farm 10,Field 10,10.2415,2022.0,2021-09-25 00:00:00,2022-07-30 00:00:00.000,Winterroggen ,26.202802323878338,79.0,,
,Farm 10,Field 11,2.9907,2022.0,2021-09-26 00:00:00,2022-07-30 00:00:00.000,Winterroggen ,26.202895643160463,79.0,,
,Farm 10,Field 12,10.2753,2023.0,2023-04-12 00:00:00,2023-08-23 00:00:00.000,Erbsen,10.999970803772154,0.0,,
